CASEID,WEIGHT,WEIGHTPOP,P_PARTYID7,QUALLIFE,HLTHPHYS,HLTHMNTL,SATSOC,ACTSSOC,PHYSACTS,EMOPROBS,FATIGUE,RATEPAIN,FEELA,FEELB,FEELC,FEELD,FEELE,FEELF,FEELG,FEELH,FEELI,FEELJ,STRESS1,STRESS2,STRESS3,STRESS4,LONELY1,LONELY2,LONELY3,SATFIN,FINALTER,FINRELA,GOODLIFE,KIDSSOL,HAPPY,REACT1A,REACT1B,REACT1C,REACT1D,REACT1E,REACT1F,REACT1G,REACT1H,REACT1I,REACT1J,REACT1K,REACT1L,REACT1M,REACT1N,REACT1O,REACT2A,REACT2B,REACT2C,REACT2D,REACT2E,REACT2F,REACT2G,REACT2H,REACT2I,REACT2J,REACT2K,REACT2L,REACT2M,REACT2N,REACT2O,THNGA,THNGB,THNGC,THNGD,THNGE,INFO,CHANGE,Q9,Q10,Q11,Q14,ECONIMPACTA,ECONIMPACTB,ECONIMPACTC,ECONIMPACTD,ECONIMPACTE,ECONIMPACTF,ECONIMPACTG,ECONIMPACTH,ECONIMPACTI,ECONIMPACTJ,ECONIMPACTK,ECONIMPACTL,ECONIMPACTM,ECONIMPACTN,ECONIMPACTO,ECONIMPACTP,ECONIMPACTQ,Q25_1,Q25_2,Q25_3,Q25_4,Q25_DK,Q25_SKP,Q25_REF,Q19,Q20_1,Q20_2,Q20_3,Q20_DK,Q20_SKP,Q20_REF,Q21A,Q21B,Q21C,Q21D,Q21E,Q21F,Q21G,CAREGAPA,CAREGAPB,CAREGAPC,CAREGAPD,CAREGAPE,CAREGAPF,CAREGAPG,CAREGAPH,CAREGAPI,CAREGAPJ,CAREGAPK,CAREGAPL,WHYCAREGAPA,WHYCAREGAPB,WHYCAREGAPC,WHYCAREGAPD,WHYCAREGAPE,WHYCAREGAPF,WHYCAREGAPG,WHYCAREGAPH,WHYCAREGAPI,WHYCAREGAPJ,WHYCAREGAPK,WHYCAREGAPL,TELEHEALTH,CAREGIVEA,CAREGIVEB,CAREGIVEC,CAREGETA,CAREGETB,CAREGETC,FLOYDPROTESTA,FLOYDPROTESTB,FLOYDPROTESTC,FLOYDPROTESTD,STARTDT,ENDDT,DURATION,SURV_MODE,SURV_LANG,DEVICE,GENDER,AGE4,AGE7,EDUC4,MARITAL,EMPLOY,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,HHINCOME,EDU_R3,INC_R3,EMPLOYED,MARRIED,RACETH,AGE_GROUP_R5,HOTSPOT
3151,3,319320,Moderate Republican,Good,Good,Fair,Good,Fair,Moderately,Sometimes,Moderate,5,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fairly often,Sometimes,Sometimes,Sometimes,Often,Often,Very often,More or less satisfied,Worse,Average,Somewhat agree,Somewhat worse,Pretty happy,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,,Yes,No,Yes,Yes,Yes,,Yes,No,No,No,,,No,No,Yes,Yes,No,No,Often,None,No,Yes,No,"No, I receive no pay",Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,SKIPPED ON WEB,Yes,Yes,No,No,,,,I decided,,Both,,,Both,Both,,,No,Yes,No,No,Yes,No,No,Disagree,Agree,Disagree,Agree,22JUL20:14:43:01,22JUL20:15:02:04,19,Web Interview,English,Desktop,Female,60+,55-64,HS graduate or equivalent,Married,Working - self-employed,South,East South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2,0,0,0,0,2,"$50,000 to under $75,000",High school diploma or less,"$50,000 to under $100,000",Employed,Married/co-habitating,"White, non-Hispanic",60 to 64,0
3562,1,74694,Lean Republican,Good,Good,Fair,Good,Good,Mostly,Often,Moderate,2,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Sometimes,Fairly often,Fairly often,Sometimes,Rarely,Rarely,Rarely,Satisfied,Better,Above average,Strongly agree,About the same,Pretty happy,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,,,,,No,,No,,,,,,,,,No,Yes,Yes,No,No,Often,Only a few,No,No,Yes,"No, I receive no pay",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,,,,Provider decided,,,,,,Provider decided,,,Yes,Yes,No,Yes,No,No,No,Strongly disagree,Agree,Strongly disagree,Agree,22JUL20:15:58:04,22JUL20:16:10:22,13,Web Interview,English,Smartphone,Female,30-44,25-34,HS graduate or equivalent,Married,Working - as a paid employee,South,East South Central,Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,Cellphone only,6,0,1,0,1,4,"$20,000 to under $30,000",High school diploma or less,"Less than $50,000",Employed,Married/co-habitating,"White, non-Hispanic",30 to 39,0
1088,2,214473,Moderate Republican,Excellent,Good,Very good,Very good,Very good,Completely,Rarely,Mild,2,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Very often,Very often,Very often,Almost never,Never,Never,Never,Satisfied,Better,Above average,Somewhat agree,About the same,Pretty happy,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,,,,,,Yes,,,,,No,,,,No,No,Yes,No,No,No,Occasionally,Only a few,No,No,No,"Yes, I receive full pay but do not have to take leave",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,Yes,No,Yes,No,No,No,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,22JUL20:14:50:44,26JUL20:17:47:56,12,Web Interview,English,Desktop,Male,60+,75+,BA or above,Married,Not working - disabled,South,East South Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2,0,0,0,0,1,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,0
1649,0,62030,Don't Lean/Independent/None,Poor,Good,Poor,Poor,Poor,Completely,Rarely,Mild,5,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Never,Very often,Fairly often,Almost never,Never,Often,Rarely,Satisfied,Stayed the same,Average,Strongly agree,Somewhat worse,Very happy,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,,,No,Yes,,Yes,Yes,,No,,,,,Yes,Yes,Yes,No,No,Occasionally,Only a few,Yes,No,Yes,"No, I receive no pay",No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,28JUL20:19:08:03,28JUL20:19:55:11,48,Web Interview,English,Smartphone,Female,30-44,25-34,Some college,Divorced,Working - as a paid employee,South,East South Central,Non-Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,Cellphone only,2,0,0,0,0,1,"$30,000 to under $40,000",Some college,"Less than $50,000",Employed,Not married,"White, non-Hispanic",30 to 39,0
784,1,122451,Lean Democrat,Very good,Very good,Excellent,Very good,Excellent,Completely,Never,Mild,1,Yes,No,Yes,No,Yes,No,No,No,No,No,Almost never,Very often,Fairly often,Never,Never,Never,Never,More or less satisfied,Stayed the same,Above average,Somewhat agree,Somewhat worse,Pretty happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,Often,None,No,No,No,"Yes, I receive full pay but do not have to take leave",No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,,,,I decided,,I decided,,,,,,,Not sure,No,No,No,No,No,No,Agree,Agree,Neither agree nor disagree,Disagree,23JUL20:08:07:36,26JUL20:16:48:21,21,Web Interview,English,Smartphone,Male,60+,65-74,Some college,Married,Not working - retired,South,East South Central,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,5,0,0,1,0,4,"$75,000 to under $100,000",Some college,"$50,000 to under $100,000",Not employed,Married/co-habitating,"White, non-Hispanic",65 or older,0
3156,2,230432,Strong Republican,Good,Fair,Good,Fair,Fair,Completely,Sometimes,Moderate,4,SKIPPED ON WEB,No,No,No,No,Yes,No,No,No,No,Almost never,Sometimes,Sometimes,Almost never,Rarely,Sometimes,Sometimes,Not at all satisfied,Better,Far below average,Somewhat agree,Much better,Pretty happy,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,,,No,,Yes,,,Yes,,,No,,,,No,No,No,No,No,Rarely,None,No,No,Yes,"No, I receive no pay",No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,,,,,Provider decided,,Provider decided,Provider decided,,,,Yes,Yes,Yes,No,No,No,No,Disagree,Neither agree nor disagree,Disagree,Disagree,25JUL20:10:47:16,25JUL20:11:00:41,14,Web Interview,English,Desktop,Male,60+,55-64,HS graduate or equivalent,Married,Not working - disabled,South,East South Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,2,0,0,0,0,2,"$10,000 to under $20,000",High school diploma or less,"Less than $50,000",Not employed,Married/co-habitating,"White, non-Hispanic",60 to 64,0
1080,1,186613,Moderate Democrat,Very good,Very good,Very good,Very good,Very good,Completely,Never,None,0 - No pain,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Almost never,Very often,Very often,Never,Never,Never,Never,More or less satisfied,Stayed the same,Average,Somewhat agree,Much better,Pretty happy,Yes,No,Yes,No,Yes,SKIPPED ON WEB,Yes,No,Yes,No,No,No,No,No,No,Yes,,No,,Yes,,No,,No,,,,,,,Yes,No,Yes,No,No,Occasionally,None,No,No,Yes,"No, I receive no pay",Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,,,,,,,,,,Provider decided,,,Yes,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,23JUL20:16:08:22,23JUL20:16:17:23,9,Web Interview,English,Smartphone,Female,30-44,35-44,Some college,Divorced,Working - as a paid employee,South,East South Central,Metro Area,Internet Household,Rented for cash,A one-family house detached from any other house,Cellphone only,3,0,0,0,0,1,"$10,000 to under $20,000",Some college,"Less than $50,000",Employed,Not married,"African American, non-Hispanic",40 to 59,0
3171,2,187688,Moderate Democrat,Good,Fair,Good,Good,Good,Moderately,Sometimes,Very severe,8,Yes,Yes,Yes,SKIPPED ON WEB,Yes,Yes,Yes,Yes,Yes,No,Fairly often,Very often,Sometimes,Sometimes,Rarely,Rarely,Rarely,More or less satisfied,Worse,SKIPPED ON WEB,Somewhat disagree,Somewhat worse,Pretty happy,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,SKIPPED ON WEB,SKIPPED ON WEB,No,No,Yes,No,,Yes,No,No,Yes,No,,Yes,,,,,,Yes,Yes,Yes,No,Yes,No,Rarely,None,No,No,No,"No, I receive no pay",No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,Yes,No,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,23JUL20:06:04:24,23JUL20:07:22:52,75,Web Interview,English,Smartphone,Female,45-59,55-64,Some college,Divorced,Not working - disabled,South,East South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A mobile home or trailer,Cellphone only,1,0,0,0,0,1,"$10,000 to under $20,000",Some college,"Less than $50,000",Not employed,Not married,"White, non-Hispanic",40 to 59,0
388,1,185859,Lean Democrat,Very good,Fair,Very good,Very good,Very good,Completely,Never,None,0 - No pain,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Almost never,Fairly often,Fairly often,Almost never,Never,SKIPPED ON WEB,Never,More or less satisfied,Stayed the same,Above average,Neither agree nor disagree,Somewhat worse,Not too happy,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,No,Yes,No,No,No,Often,None,No,No,No,"No, I receive no pay",No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Yes,No,No,No,No,No,No,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,22JUL20:11:16:03,22JUL20:11:29:46,14,Web Interview,English,Desktop,Male,60+,55-64,BA or above,Married,Not working - retired,South,East South Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",2,0,0,0,0,2,"$100,000 to under $150,000",Bachelors degree or more,"$100,000 or more",Not employed,Married/co-habitating,"White, non-Hispanic",60 to 64,0
2389,1,124448,Moderate Democrat,Good,Good,Good,Fair,Fair,A little,Sometimes,Moderate,0 - No pain,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,More or less satisfied,Worse,Average,Neither agree nor disagree,About the same,Not too happy,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,Yes,Yes,Yes,,,,,,,,,No,Yes,No,No,No,Often,Only a few,No,No,No,"Yes, I receive full pay but do not have to take leave",No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,"No symptoms or signs, or tested as not having the disease",No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,Not sure,No,No,No,No,No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,23JUL20:19:36:25,23JUL20:19:46:46,11,Web Interview,English,Smartphone,Female,45-59,45-54,Some college,Divorced,Working - as a paid employee,South,East South Central,Metro Area,Non-internet household,Rented for cash,A building with 2 or more apartments,Cellphone only,3,0,0,0,0,3,"$20,000 to under $30,000",Some college,"Less than $50,000",Employed,Not married,"African American, non-Hispanic",40 to 59,0
